dates,campaign_name,creative_name,total_spent,impressions,clicks,click_through_rate,leads,platform,adset_name
2024-05-02,USP_2_Lead-gen-2_Top4-states_050424,USP_S2_Faced-rejection,158.73,2421,5,0.20652623,0.0,facebook,usp-2_ka_tn_050424
2024-05-02,USP_2_Lead-gen-2_Top4-states_050424,#8 ( Graphic ) - Study In The USA,456.83,419,2,0.47732697,1.0,facebook,usp-2_ka_tn_050424
2024-05-02,USP Study Abroad_Generic_240224,USP_S1_We-guarantee,5.1,38,0,0.0,0.0,facebook,all india generic leads ad set_240224
2024-05-02,USP_2_Lead-gen-1_220124,#8 ( Graphic ) - Study In The USA,1649.23,3700,31,0.83783784,10.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-02,USP_Search_APTNTSKA_250124, --,4990.21,1022,183,0.1791,15.0,google,gmat/gre
2024-05-03,USP_Search_APTNTSKA_250124, --,3955.85,751,143,0.1904,20.0,google,gmat/gre
2024-05-04,USP_Search_APTNTSKA_250124, --,6005.39,798,207,0.2594,28.0,google,gmat/gre
2024-05-01,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,910.18,2561,45,1.75712612,7.0,facebook,all india counselling look-a-like_290224
2024-05-01,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,168.4,34,1,2.94117647,1.0,facebook,all india generic leads ad set_240224
2024-05-01,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,0.24,5,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-05-01,USP Study Abroad_Generic_240224,USP_S4_Do-you-have,35.18,2,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-05-01,USP Study Abroad_Generic_240224,USP_S1_We-guarantee,758.52,268,9,3.35820896,2.0,facebook,all india counselling look-a-like_290224
2024-05-01,USP Study Abroad_Generic_240224,USP_S3_never-been-easier,0.23,2,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-05-01,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,41.22,50,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-05-01,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,4.71,15,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-05-01,USP Study Abroad_Generic_240224,USP_S5_easy-for-you,89.78,21,2,9.52380952,1.0,facebook,all india counselling look-a-like_290224
2024-05-01,USP Study Abroad_Generic_240224,USP_S5_easy-for-you,63.7,260,1,0.38461538,0.0,facebook,all india focusing on uni ad set_060324
2024-05-01,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,92.55,74,5,6.75675676,2.0,facebook,all india generic leads ad set_240224
2024-05-01,USP Study Abroad_Generic_240224,USP_S3_never-been-easier,54.41,170,0,0.0,0.0,facebook,all india focusing on uni ad set_060324
2024-05-01,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,63.87,246,0,0.0,0.0,facebook,all india focusing on uni ad set_060324
2024-05-01,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1533.91,10398,104,1.00019234,1.0,facebook,all india focusing on uni ad set_060324
2024-05-01,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,231.39,137,2,1.45985401,1.0,facebook,all india focusing on uni ad set_060324
2024-05-01,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,57.18,145,0,0.0,0.0,facebook,all india focusing on uni ad set_060324
2024-05-01,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1036.44,5106,41,0.80297689,2.0,facebook,all india focusing on uni ad set_060324
2024-05-01,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1253.03,1168,24,2.05479452,4.0,facebook,all india counselling look-a-like_290224
2024-05-01,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1391.79,3251,41,1.26115042,7.0,facebook,all india generic leads ad set_240224
2024-05-01,USP_2_Lead-gen-1_220124,#18 - Master's Degree In 12 Months Â– Rutgers,14.53,4,0,0.0,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-01,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,162.38,78,2,2.56410256,1.0,facebook,all india generic leads ad set_240224
2024-05-01,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,980.98,2844,26,0.91420534,1.0,facebook,all india generic leads ad set_240224
2024-05-01,USP_2_Lead-gen-1_220124,#6 ( Graphic ) - Master's Degree In 12 Months,656.01,1639,21,1.28126907,6.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-01,USP_2_Lead-gen-2_Top4-states_050424,USP_S3_never-been-easier,159.88,3794,10,0.26357406,0.0,facebook,usp-2_ap_ts_050424
2024-05-01,USP_2_Lead-gen-2_Top4-states_050424,USP_S1_We-guarantee,194.5,2545,4,0.15717092,0.0,facebook,usp-2_ka_tn_050424
2024-05-01,USP_2_Lead-gen-2_Top4-states_050424,USP_S2_Faced-rejection,297.47,2483,8,0.3221909,1.0,facebook,usp-2_ka_tn_050424
2024-05-01,USP_2_Lead-gen-2_Top4-states_050424,#8 ( Graphic ) - Study In The USA,351.41,844,5,0.59241706,1.0,facebook,usp-2_ka_tn_050424
2024-05-01,USP_2_Lead-gen-2_Top4-states_050424,#7 ( Graphic ) - Get A Free Pass,1113.7,3377,14,0.41456914,0.0,facebook,usp-2_ka_tn_050424
2024-05-01,USP_2_Lead-gen-2_Top4-states_050424,USP_S3_never-been-easier,141.11,2221,4,0.18009905,1.0,facebook,usp-2_ka_tn_050424
2024-04-29,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,29.12,77,0,0.0,0.0,facebook,all india focusing on uni ad set_060324
